season,category,region,channel,color_family,color_hex,is_core,forecast_strength,week,units_received,units_sold_fullprice,units_sold_markdown,on_markdown,unit_price
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,13,0,0.0,181.1,1,89
SS24,Dresses,APAC,Retail,Black,#1A1A1A,1,20,14,0,0.0,99.6,1,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,1,1161,139.0,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,2,0,118.4,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,3,0,100.9,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,4,0,86.0,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,5,0,73.3,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,6,0,62.4,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,7,0,53.2,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,8,0,45.3,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,9,0,38.6,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,10,0,32.9,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,11,0,28.1,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,12,0,23.9,0.0,0,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,13,0,0.0,161.5,1,89
SS24,Dresses,APAC,Online,Black,#1A1A1A,1,20,14,0,0.0,88.8,1,89
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,1,1709,169.7,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,2,0,144.6,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,3,0,123.2,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,4,0,105.0,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,5,0,89.5,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,6,0,76.2,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,7,0,65.0,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,8,0,55.4,0.0,0,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,9,0,0.0,396.3,1,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,10,0,0.0,217.9,1,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,11,0,0.0,119.9,1,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,12,0,0.0,65.9,1,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,13,0,0.0,36.3,1,75
SS24,Knitwear,North America,Retail,Black,#1A1A1A,1,20,14,0,0.0,19.9,1,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,1,1446,145.9,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,2,0,124.3,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,3,0,105.9,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,4,0,90.3,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,5,0,76.9,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,6,0,65.5,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,7,0,55.9,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,8,0,47.6,0.0,0,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,9,0,0.0,330.2,1,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,10,0,0.0,181.6,1,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,11,0,0.0,99.9,1,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,12,0,0.0,54.9,1,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,13,0,0.0,30.2,1,75
SS24,Knitwear,North America,Online,Black,#1A1A1A,1,20,14,0,0.0,16.6,1,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,1,1594,173.1,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,2,0,147.5,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,3,0,125.7,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,4,0,107.1,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,5,0,91.3,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,6,0,77.8,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,7,0,66.3,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,8,0,56.5,0.0,0,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,9,0,0.0,336.9,1,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,10,0,0.0,185.3,1,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,11,0,0.0,101.9,1,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,12,0,0.0,56.0,1,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,13,0,0.0,30.8,1,75
SS24,Knitwear,Europe,Retail,Black,#1A1A1A,1,20,14,0,0.0,17.0,1,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,1,1166,130.7,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,2,0,111.4,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,3,0,94.9,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,4,0,80.9,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,5,0,68.9,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,6,0,58.7,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,7,0,50.1,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,8,0,42.7,0.0,0,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,9,0,0.0,237.5,1,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,10,0,0.0,130.6,1,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,11,0,0.0,71.8,1,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,12,0,0.0,39.5,1,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,13,0,0.0,21.7,1,75
SS24,Knitwear,Europe,Online,Black,#1A1A1A,1,20,14,0,0.0,12.0,1,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,1,1257,143.6,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,2,0,122.3,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,3,0,104.2,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,4,0,88.8,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,5,0,75.7,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,6,0,64.5,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,7,0,55.0,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,8,0,46.8,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,9,0,39.9,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,10,0,34.0,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,11,0,29.0,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,12,0,24.7,0.0,0,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,13,0,0.0,192.8,1,75
SS24,Knitwear,APAC,Retail,Black,#1A1A1A,1,20,14,0,0.0,106.0,1,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,1,960,107.8,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,2,0,91.9,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,3,0,78.3,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,4,0,66.7,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,5,0,56.8,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,6,0,48.4,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,7,0,41.3,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,8,0,35.2,0.0,0,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,9,0,0.0,195.2,1,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,10,0,0.0,107.3,1,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,11,0,0.0,59.0,1,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,12,0,0.0,32.5,1,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,13,0,0.0,17.9,1,75
SS24,Knitwear,APAC,Online,Black,#1A1A1A,1,20,14,0,0.0,9.8,1,75
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,1,2303,246.5,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,2,0,210.1,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,3,0,179.0,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,4,0,152.6,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,5,0,130.0,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,6,0,110.8,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,7,0,94.4,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,8,0,80.4,0.0,0,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,9,0,0.0,494.6,1,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,10,0,0.0,272.0,1,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,11,0,0.0,149.6,1,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,12,0,0.0,82.3,1,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,13,0,0.0,45.3,1,39
SS24,Tops,North America,Retail,Black,#1A1A1A,1,20,14,0,0.0,24.9,1,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,1,1833,204.9,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,2,0,174.6,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,3,0,148.8,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,4,0,126.8,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,5,0,108.0,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,6,0,92.1,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,7,0,78.4,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,8,0,66.8,0.0,0,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,9,0,0.0,374.7,1,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,10,0,0.0,206.1,1,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,11,0,0.0,113.3,1,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,12,0,0.0,62.3,1,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,13,0,0.0,34.3,1,39
SS24,Tops,North America,Online,Black,#1A1A1A,1,20,14,0,0.0,18.9,1,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,1,2060,221.9,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,2,0,189.1,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,3,0,161.1,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,4,0,137.3,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,5,0,117.0,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,6,0,99.7,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,7,0,85.0,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,8,0,72.4,0.0,0,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,9,0,0.0,439.4,1,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,10,0,0.0,241.7,1,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,11,0,0.0,132.9,1,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,12,0,0.0,73.1,1,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,13,0,0.0,40.2,1,39
SS24,Tops,Europe,Retail,Black,#1A1A1A,1,20,14,0,0.0,22.1,1,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,1,1403,154.8,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,2,0,131.9,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,3,0,112.4,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,4,0,95.8,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,5,0,81.6,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,6,0,69.5,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,7,0,59.3,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,8,0,50.5,0.0,0,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,9,0,0.0,291.3,1,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,10,0,0.0,160.2,1,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,11,0,0.0,88.1,1,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,12,0,0.0,48.5,1,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,13,0,0.0,26.7,1,39
SS24,Tops,Europe,Online,Black,#1A1A1A,1,20,14,0,0.0,14.7,1,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,1,1269,128.1,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,2,0,109.2,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,3,0,93.0,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,4,0,79.3,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,5,0,67.6,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,6,0,57.6,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,7,0,49.1,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,8,0,41.8,0.0,0,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,9,0,0.0,289.5,1,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,10,0,0.0,159.2,1,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,11,0,0.0,87.6,1,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,12,0,0.0,48.2,1,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,13,0,0.0,26.5,1,39
SS24,Tops,APAC,Retail,Black,#1A1A1A,1,20,14,0,0.0,14.6,1,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,1,1126,128.3,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,2,0,109.3,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,3,0,93.1,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,4,0,79.4,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,5,0,67.6,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,6,0,57.6,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,7,0,49.1,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,8,0,41.8,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,9,0,35.7,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,10,0,30.4,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,11,0,25.9,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,12,0,22.1,0.0,0,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,13,0,0.0,173.6,1,39
SS24,Tops,APAC,Online,Black,#1A1A1A,1,20,14,0,0.0,95.5,1,39
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,1,1490,161.5,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,2,0,137.6,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,3,0,117.3,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,4,0,99.9,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,5,0,85.2,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,6,0,72.6,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,7,0,61.8,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,8,0,52.7,0.0,0,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,9,0,0.0,315.6,1,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,10,0,0.0,173.6,1,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,11,0,0.0,95.5,1,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,12,0,0.0,52.5,1,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,13,0,0.0,28.9,1,69
SS24,Denim,North America,Retail,Black,#1A1A1A,1,20,14,0,0.0,15.9,1,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,1,1388,150.3,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,2,0,128.1,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,3,0,109.1,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,4,0,93.0,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,5,0,79.3,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,6,0,67.5,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,7,0,57.6,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,8,0,49.0,0.0,0,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,9,0,0.0,294.3,1,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,10,0,0.0,161.9,1,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,11,0,0.0,89.0,1,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,12,0,0.0,49.0,1,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,13,0,0.0,26.9,1,69
SS24,Denim,North America,Online,Black,#1A1A1A,1,20,14,0,0.0,14.8,1,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,1,1201,133.9,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,2,0,114.1,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,3,0,97.2,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,4,0,82.8,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,5,0,70.6,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,6,0,60.2,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,7,0,51.3,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,8,0,43.7,0.0,0,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,9,0,0.0,246.3,1,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,10,0,0.0,135.5,1,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,11,0,0.0,74.5,1,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,12,0,0.0,41.0,1,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,13,0,0.0,22.5,1,69
SS24,Denim,Europe,Retail,Black,#1A1A1A,1,20,14,0,0.0,12.4,1,69
